Refcode,Exp logS Average,MinAbsPartialCharge,NumRadicalElectrons,HeavyAtomMolWt,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MinPartialCharge,ExactMolWt,MolWt,NumValenceElectrons,MinEStateIndex,MinAbsEStateIndex,MaxPartialCharge,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
ABEWAG,-1.91,0.035078372,0,40.021,4.25,0.387928346,4.25,-0.387928346,46.04186481,46.069,20,1.625,1.625,0.035078372,1.632993162,2.754887502,2.707106781,2.40824829,2.40824829,1.414213562,0.816496581,0.816496581,0.40824829,0.40824829,0,0,0,0,-0.04,2.754887502,2.96,1.96,1.96,20.21773837,4.736862954,0,0,0,0,0,0,0,0,0,0,0,14.21959508,0,4.736862954,0,0,0,0,0,14.21959508,0,0,0,0,0,0,0,14.21959508,4.736862954,0,0,0,0,0,0,9.23,0,0,0,0,0,0,0,14.21959508,0,4.736862954,0,0,0,0,0,0,0,0,0,0,7.5,1,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.2626,12.933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABUMIT01,-1.36,0.059180344,0,142.972,5.576728395,0.082713195,5.576728395,-0.082713195,145.9690055,147.004,42,0.605709877,0.605709877,0.059180344,3.134861511,162.6383389,5.983127663,4.065330023,5.577187915,3.804530453,2.205314742,2.961243688,1.414108774,2.228509028,0.824372589,1.580281081,0.439294576,0.710761328,-0.2,72.49526583,5.928205128,2.3818409,1.145679012,58.03793557,0,0,0,0,0,0,0,0,0,0,35.33461392,12.13273414,0,10.04526663,0,23.20187978,0,0,0,0,0,34.3107349,0,0,0,0,0,23.20187978,0,0,0,0,24.26546827,10.04526663,0,0,0,0,0,0,0,10.04526663,0,0,12.13273414,12.13273414,0,23.20187978,0,11.15345679,0,0,0,0,0,0,0,8.402098765,0,8,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,1,2.9934,36.462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACETAC07,-6.69,0.299684553,0,56.02,9,0.481433475,9,-0.481433475,60.02112937,60.052,24,-0.833333333,0.833333333,0.299684553,2.803039488,27.01955001,3.577350269,2.355461886,2.355461886,1.732050808,0.927730943,0.927730943,0.519018036,0.519018036,0,0,0,0,-0.53,3.245112498,3.47,0.8748583,1.156009256,24.05994899,5.106527395,0,0,0,5.969305288,0,4.794537184,0,0,0,0,0,6.9237372,0,9.901064579,5.969305288,0,0,0,6.9237372,0,0,0,0,0,0,0,0,11.07583268,4.794537184,0,6.9237372,0,0,0,0,37.3,5.969305288,0,0,0,0,6.9237372,0,0,0,0,9.901064579,0,0,0,0,0,0,0,0,0,16.66666667,0.5,4,1,2,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0.0909,13.3098,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSALA13,-9.94,0.339003787,0,172.095,10.61194822,0.477539527,10.61194822,-0.477539527,180.0422587,180.159,68,-1.114027778,0.016018519,0.339003787,3.043527355,343.2228677,9.844934983,6.981359544,6.981359544,6.109060905,3.617453648,3.617453648,2.394955678,2.394955678,1.371154665,1.371154665,0.887171219,0.887171219,-1.84,729.6807529,9.249605735,3.709251258,2.297415033,74.75705264,9.843390349,11.31296333,0,0,0,11.93861058,4.794537184,4.794537184,0,0,12.13273414,12.13273414,6.9237372,0,19.43246472,11.93861058,0,0,0,6.9237372,0,29.82891977,0,5.749511833,4.736862954,0,5.749511833,0,17.04513797,4.794537184,0,17.28172588,24.26546827,0,0,0,63.6,11.93861058,9.589074368,0,11.31296333,0,0,19.05647134,12.13273414,0,4.736862954,5.106527395,0,0,0,0,0,0,0,0,0,40.16666667,0.111111111,13,1,4,0,0,0,1,0,1,3,1,4,2,0,0,0,1,1.3101,44.7103,0,0,0,0,1,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AXUCUS01,-2.94,0.302112778,0,80.042,9.821527778,0.46617189,9.821527778,-0.46617189,88.0524295,88.106,36,-0.210648148,0.210648148,0.302112778,2.83125711,49.509775,4.991563832,4.023603362,4.023603362,2.77005561,1.904030206,1.904030206,0.924594326,0.924594326,0.3476007,0.3476007,0.203263132,0.203263132,-0.53,14.83446686,5.47,2.693713647,3.47,37.1091447,4.736862954,0,0,0,0,5.969305288,4.794537184,0,0,0,0,6.9237372,6.9237372,6.606881965,9.531400138,5.969305288,0,0,0,13.8474744,6.606881965,0,0,0,0,0,0,0,12.57618725,9.531400138,0,13.8474744,0,0,0,0,26.3,0,4.794537184,0,5.969305288,6.606881965,0,6.9237372,6.9237372,0,4.736862954,0,0,0,0,0,0,0,0,0,0,17.66666667,0.75,6,0,2,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0.5694,22.307,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAHSUY,-3.13,0.301847167,0,68.031,9.590277778,0.469198107,9.590277778,-0.469198107,74.03677943,74.079,30,-0.24537037,0.24537037,0.301847167,2.847378923,40.15772188,4.28445705,3.316496581,3.316496581,2.27005561,1.316496581,1.316496581,0.695705769,0.695705769,0.287457479,0.287457479,0,0,-0.53,9.651484454,4.47,1.758184438,3.47,30.74420259,4.736862954,0,0,0,0,5.969305288,4.794537184,0,0,0,0,0,6.9237372,7.109797541,9.531400138,5.969305288,0,0,0,6.9237372,7.109797541,0,0,0,0,0,0,0,13.07910283,9.531400138,0,6.9237372,0,0,0,0,26.3,0,4.794537184,0,5.969305288,0,0,14.03353474,0,0,4.736862954,0,0,0,0,0,0,0,0,0,0,16.16666667,0.666666667,5,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0.1793,17.69,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BENZEN15,-0.9,0.062268571,0,72.066,2,0.062268571,2,-0.062268571,78.04695019,78.114,30,2,2,-0.062268571,3,71.96100506,4.242640687,3.464101615,3.464101615,3,2,2,1.154700538,1.154700538,0.666666667,0.666666667,0.384900179,0.384900179,-0.78,34.39946188,3.411570881,1.60576944,0.58239926,37.43140312,0,0,0,0,0,0,0,0,0,0,36.39820241,0,0,0,0,0,0,0,0,0,0,36.39820241,0,0,0,0,0,0,0,0,0,0,36.39820241,0,0,0,0,0,0,0,0,0,0,0,0,36.39820241,0,0,0,0,0,0,0,0,0,0,0,12,0,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1.6866,26.442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUTCLT05,1.09,0.036211637,0,83.497,5.530092593,0.120213327,5.530092593,-0.120213327,92.03927797,92.569,32,-0.027777778,0.027777778,0.036211637,3.023715784,19.11941548,4.5,3.877964473,4.633893419,2,1.688982237,2.06694671,2.06694671,3.200840129,0,0,0,0,0.29,3.609640474,5.29,1.173674847,267.50522,38.1373436,0,0,0,0,0,0,0,0,0,11.60093989,0,20.7712116,4.874172291,0,0,11.60093989,0,0,0,25.64538389,0,0,0,0,0,0,0,11.60093989,4.874172291,0,0,20.7712116,0,0,0,0,0,0,0,0,4.874172291,0,0,0,0,20.7712116,0,11.60093989,0,5.530092593,0,0,0,0,0,0,0,5.831018519,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.0237,25.606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CACFIW,-4.59,0.037536012,0,98.084,4.173611111,0.258488086,4.173611111,-0.258488086,107.0734993,107.156,42,1.087962963,1.087962963,0.037536012,3.077660438,164.2466295,5.983127663,5.179264403,5.179264403,3.7876937,2.691230531,2.691230531,1.920349576,1.920349576,1.027560864,1.027560864,0.679335151,0.679335151,-0.85,64.0524865,5.28986014,1.948262116,1.059403088,49.38093533,0,0,0,0,0,0,4.983978521,0,0,0,6.066367068,25.98020854,11.38785599,0,0,0,0,4.983978521,0,13.8474744,0,29.5869572,0,0,0,0,0,0,4.983978521,0,13.8474744,11.38785599,18.19910121,0,0,0,12.89,0,0,0,0,0,11.38785599,0,0,32.0465756,4.983978521,0,0,0,0,0,0,0,0,0,0,16.33333333,0.285714286,8,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1.69844,33.711,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CEBGOF06,-9.51,0.337346052,0,144.085,10.82087113,0.507966179,10.82087113,-0.507966179,152.0473441,152.149,58,-0.398148148,0.136715797,0.337346052,2.895348036,250.5446101,8.267584714,6.073111253,6.073111253,5.236382105,3.111470584,3.111470584,2.038455648,2.038455648,1.288402378,1.288402378,0.715364027,0.715364027,-1.51,335.4793898,7.595374078,3.053138101,1.703179075,64.23058843,9.843390349,5.749511833,0,0,0,5.969305288,0,4.794537184,0,0,0,24.26546827,0,12.67324903,14.63792753,5.969305288,0,0,0,0,7.109797541,29.82891977,0,5.749511833,0,0,5.749511833,0,18.18563022,4.736862954,0,10.35798868,24.26546827,0,0,0,46.53,5.969305288,4.794537184,0,5.749511833,5.563451492,0,31.37526582,0,0,4.736862954,5.106527395,0,0,0,0,0,0,0,0,0,31.5,0.125,11,1,3,0,0,0,1,0,1,3,1,3,1,0,0,0,1,1.1788,39.4463,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
