refcode,Exp logS Average,MinAbsPartialCharge,NumRadicalElectrons,HeavyAtomMolWt,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MinPartialCharge,ExactMolWt,MolWt,NumValenceElectrons,MinEStateIndex,MinAbsEStateIndex,MaxPartialCharge,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,AlogP,MLogP,XLogP,MW,Tm
ZZZIVG03,1.026548856,0.029985311,3,86.073,6.955,0.264715517,6.955,-0.264715517,90.03437413,90.105,33,0.509259259,0.509259259,0.029985311,3.02146531,134.1073697,5.112884175,3.756614672,3.756614672,3.39384685,2.010414715,2.010414715,1.23588873,1.23588873,0.680320548,0.680320548,0.351914147,0.351914147,-0.85,47.19725257,4.312601626,1.73496748,0.999576996,43.01599321,0,0,0,0,0,0,4.983978521,0,0,0,0,17.69618563,19.31742434,0,0,0,0,4.983978521,0,0,0,37.01360997,0,0,0,0,0,0,4.983978521,0,6.9237372,5.563451492,24.52642128,0,0,0,12.89,0,0,0,0,5.563451492,0,0,24.52642128,0,4.983978521,6.9237372,0,0,0,0,0,0,0,0,0,17.66666667,0,7,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,26.582,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.01779,2.01,1.207,94.07,275.45
PYRDNO19,1.021819483,0.179843249,0,90.061,10.18611111,0.618693513,10.18611111,-0.618693513,95.03711378,95.101,36,0.75,0.75,0.179843249,3.02146531,138.0075042,5.112884175,3.742213232,3.742213232,3.39384685,2.032305299,2.032305299,1.235382375,1.235382375,0.688203532,0.688203532,0.382874864,0.382874864,-1.05,47.19725257,4.118067227,1.598931215,0.891824957,41.60929484,5.207253025,0,12.39368714,0,0,0,0,0,4.730407642,0,6.066367068,0,12.13273414,0,4.730407642,0,0,0,0,0,0,35.80004137,0,0,4.730407642,0,0,0,0,0,5.207253025,0,30.59278835,0,0,0,26.94,0,5.207253025,0,0,0,4.730407642,12.39368714,18.19910121,0,0,0,0,0,0,0,0,0,0,0,0,19,0,7,0,2,0,0,0,0,1,1,1,0,2,0,0,0,0,1,25.402,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.32,1.79,1.335,95.1,338
TAQYUG,-4.07,0.017554065,0,231.874,3.324583333,0.05083833,3.324583333,-0.05083833,233.8679743,235.906,42,1.111759259,1.111759259,0.017554065,3.032455532,145.3883389,5.983127663,4.065330023,7.237323101,3.7876937,2.199331678,3.785328217,1.43643578,3.267786838,0.803543161,1.860874188,0.429549359,0.958214872,0.18,70.79892376,6.302249389,2.646097475,1.600119577,65.16649833,0,0,0,0,0,0,0,0,0,0,31.8598878,24.26546827,8.945439032,0,0,31.8598878,0,0,0,0,0,33.21090731,0,0,0,0,0,31.8598878,0,0,0,0,33.21090731,0,0,0,0,0,0,0,0,0,8.945439032,0,0,24.26546827,31.8598878,0,0,0,0,0,0,0,0,0,2.223518519,7.960648148,0,8,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,1,41.842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2116,1.9,3.618,235.9,363.5
SOFVUG02,-3.540858343,0.018597542,0,231.874,3.332083333,0.060024281,3.332083333,-0.060024281,233.8679743,235.906,42,1.103587963,1.103587963,0.018597542,3.077660438,166.3883389,5.983127663,4.065330023,7.237323101,3.7876937,2.199331678,3.785328217,1.439890104,3.271241162,0.786663949,1.773167226,0.459914229,1.565583126,0.18,64.0524865,6.302249389,2.646097475,1.600119577,65.16649833,0,0,0,0,0,0,0,0,0,0,37.92625486,18.19910121,8.945439032,0,0,31.8598878,0,0,0,0,0,33.21090731,0,0,0,0,0,31.8598878,0,0,0,0,33.21090731,0,0,0,0,0,0,0,0,0,8.945439032,0,0,24.26546827,31.8598878,0,0,0,0,0,0,0,0,0,2.207175926,7.961990741,0,8,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,1,41.842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2116,1.9,3.618,235.905,266
SOFWIV,-3.499997278,0.031694731,0,231.874,3.348287037,0.061066711,3.348287037,-0.061066711,233.8679743,235.906,42,1.097222222,1.097222222,0.031694731,3.134861511,162.6383389,5.983127663,4.065330023,7.237323101,3.804530453,2.205314742,3.791311281,1.414108774,3.122782572,0.824372589,2.739447295,0.439294576,1.008852509,0.18,72.49526583,6.302249389,2.646097475,1.326674518,65.16649833,0,0,0,0,0,0,0,0,0,0,12.13273414,43.99262193,8.945439032,0,0,31.8598878,0,0,0,0,0,33.21090731,0,0,0,0,0,31.8598878,0,0,0,0,33.21090731,0,0,0,0,0,0,0,0,0,8.945439032,0,0,24.26546827,31.8598878,0,0,0,0,0,0,0,0,0,2.194444444,7.942314815,0,8,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,1,41.842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2116,1.9,3.618,235.9,278
DBRMET11,-1.168644442,0.058788888,0,171.819,3.0625,0.080248651,3.0625,-0.080248651,171.8523243,173.835,20,0.875,0.875,0.058788888,1.632993162,2.754887502,2.707106781,1.463035727,4.635028805,1.414213562,0.534522484,2.777460299,0.101015254,2.72741187,0,0,0,0,0.96,2.754887502,3.96,2.96,2.96,36.47434624,0,0,0,0,0,0,0,0,0,0,31.8598878,0,0,4.239357671,0,31.8598878,0,0,0,0,4.239357671,0,0,0,0,0,0,31.8598878,4.239357671,0,0,0,0,0,0,0,0,0,0,0,0,0,4.239357671,0,0,0,31.8598878,0,0,0,0,0,0,0,0,0,0.875,0,1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,22.721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7337,1.35,2.195,173.83,221
NTROMA01,0.259854227,0.193997324,0,58.016,8.805555556,0.264837326,8.805555556,-0.264837326,61.01637834,61.04,24,-0.5,0.5,0.193997324,2.803039488,29.01955001,3.577350269,2.263710176,2.263710176,1.732050808,0.812361967,0.812361967,0.439683971,0.439683971,0,0,0,0,-0.6,3.245112498,3.4,0.816666667,0.622222222,23.39222675,0,0,7.047671983,0,0,0,10.11431827,0,0,0,0,0,4.923311049,0,4.923311049,0,0,0,0,0,7.047671983,10.11431827,0,0,0,0,0,0,11.97098303,0,10.11431827,0,0,0,0,0,43.14,4.923311049,0,0,0,0,7.047671983,0,0,0,0,10.11431827,0,0,0,0,0,0,0,0,0,18,1,4,0,3,0,0,0,0,0,0,2,0,3,0,0,0,0,0,12.9184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1071,1.24,0.348,61.04,301.15
TIVWOL,-3.653310982,0.041113738,0,76.13,2.326388889,0.069747071,2.326388889,-0.069747071,88.07082691,88.226,32,-0.611111111,0.611111111,0.041113738,3.023715784,19.11941548,4.5,4.5,5.5,2,2,6,3,9,0,0,0,0,0.216883117,3.609640474,5.216883117,1.12905922,440.5808976,35.21506462,0,0,0,0,0,0,0,0,0,0,26.18804541,0,8.073872301,0,0,8.073872301,0,0,0,26.18804541,0,0,0,0,0,0,0,0,8.073872301,0,0,0,0,26.18804541,0,0,0,8.073872301,0,0,0,0,0,0,0,0,26.18804541,0,0,0,0,0,0,0,0,0,0,8.694444444,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,29.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9544,1.79,2.112,88.22,174
ZZZMWK02,-0.179551791,0.319737475,0,152.213,9.144652778,0.415138495,9.144652778,-0.415138495,166.0481474,166.325,56,-2.480902778,1.636875,0.319737475,3.746417931,78.96632017,7.707106781,6.302675481,8.302675481,3.707106781,2.855461886,8.566385658,2.99556003,9.599052527,0.499535383,4.49581845,0.611234891,5.501114017,0.313766234,27.43574108,9.313766234,2.508869689,8.313766234,57.79137871,13.70648603,0,0,0,0,17.12182841,0,0,0,0,0,26.18804541,0,0,13.70648603,17.12182841,0,0,0,26.18804541,0,0,0,0,0,0,0,0,26.71316734,4.115147098,0,0,0,26.18804541,0,0,49.69,17.12182841,0,0,0,0,0,0,26.18804541,0,0,13.70648603,0,0,0,0,0,0,0,0,5.013888889,19.875,1,9,2,3,0,0,0,0,0,0,3,2,5,2,0,0,0,0,40.4866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3912,1.35,1.262,166.32,340.4
YAGTOQ,-7.338655666,0.313636411,0,340.535,6.299295477,0.415872016,6.299295477,-0.415872016,370.0939567,370.775,120,-2.261188272,2.078168619,0.313636411,3.150538531,267.7823279,16.03553391,14.54124145,19.54124145,8.535533906,7.041241452,21.12372436,7.509459934,25.59024198,2.457908119,22.12117307,3.06379318,29.44913862,0.884415584,4644.243786,18.93229818,5.506912481,6.332486608,128.7238466,20.57573549,0,0,0,0,42.80457102,0,0,0,0,0,65.47011354,0,0,20.57573549,42.80457102,0,0,0,65.47011354,0,0,0,0,0,0,0,0,42.80457102,20.57573549,0,0,0,65.47011354,0,0,46.15,42.80457102,0,0,0,0,0,0,0,0,65.47011354,20.57573549,0,0,0,0,0,0,0,0,31.49647739,9.475744835,1,20,0,5,0,1,1,0,0,0,5,0,10,0,0,1,1,1,92.835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.592,1.46,5.7,370.77,235
