,dev_evs,dev_mae,dev_median_ae,dev_mse,dev_set_score,eval_evs,eval_mae,eval_median_ae,eval_mse,eval_set_score,method_ids,parameters,rank_test_score
21,0.709217301411,0.648808694214,0.456101471881,0.717893644094,0.79741505842,0.706953499084,0.641784116171,0.466924768917,0.760393644513,0.775589979601,"[3, 2, 11]","{'normalize': True, 'l1_ratio': 1.0, 'n_alphas': 160, 'fit_intercept': True}",392
23,0.714051462688,0.645476634091,0.454366227305,0.711625808539,0.799183801061,0.707912969821,0.640131264497,0.460989606777,0.760953464075,0.775424763703,"[4, 2, 9]","{'normalize': True, 'positive': False, 'criterion': 'bic', 'fit_intercept': True}",406
25,0.707901825136,0.649701477222,0.456368173981,0.719310757384,0.797015158219,0.706007264806,0.642355969352,0.46862076438,0.761136019995,0.775370887164,"[3, 2, 7]","{'normalize': True, 'n_alphas': 260, 'fit_intercept': True}",410
27,0.707560302274,0.649931282352,0.456473734072,0.719675703823,0.796912172695,0.705764895177,0.642497148405,0.468358095746,0.761318910569,0.775316911861,"[3, 2, 7]","{'normalize': True, 'n_alphas': 310, 'fit_intercept': True}",414
29,0.70731822913,0.650090408689,0.456601770502,0.719926873462,0.796841294248,0.70560056316,0.642587168635,0.468872505877,0.761425347076,0.775285499948,"[3, 2, 11]","{'normalize': True, 'l1_ratio': 1.0, 'n_alphas': 360, 'fit_intercept': True}",417
31,0.707134509288,0.650211014495,0.456697965541,0.720117766278,0.79678742553,0.705475863072,0.642656029638,0.469564038341,0.761506498042,0.775261550393,"[3, 2, 11]","{'normalize': True, 'l1_ratio': 1.0, 'n_alphas': 410, 'fit_intercept': True}",420
33,0.70687412852,0.650381649048,0.456833989424,0.720388640001,0.796710986718,0.705299115766,0.64275680767,0.470542460538,0.761622015895,0.775227458361,"[3, 2, 11]","{'normalize': True, 'l1_ratio': 1.0, 'n_alphas': 510, 'fit_intercept': True}",425
35,0.706155170497,0.650850989834,0.457986444949,0.721138513203,0.796499377352,0.70481098255,0.643058533589,0.473233679734,0.761944016757,0.775132428346,"[3, 2, 7]","{'normalize': True, 'n_alphas': 60, 'fit_intercept': True}",430
39,0.709274882931,0.648526486759,0.459752249466,0.716604533453,0.797778837103,0.704773418197,0.642035913502,0.463671264485,0.763046716117,0.774806995871,"[4, 2, 7]","{'normalize': True, 'n_alphas': 10, 'fit_intercept': True}",460
41,0.707087707774,0.649989888713,0.461771564439,0.718886026152,0.797135014624,0.703300463436,0.642842843316,0.464494128624,0.76396051201,0.774537313244,"[4, 2, 11]","{'normalize': True, 'l1_ratio': 1.0, 'n_alphas': 160, 'fit_intercept': True}",486
42,0.641390450496,0.668260361394,0.48884047432,0.847321298862,0.760891411644,0.700600482346,0.639489193863,0.47670146283,0.764395929276,0.774408811385,"[5, 1, 11]","{'normalize': True, 'l1_ratio': 1.0, 'n_alphas': 260, 'fit_intercept': True}",497
43,0.705679066199,0.650932605396,0.4626263051,0.720367476662,0.796716958875,0.702349913505,0.643430107279,0.465010375615,0.764570424414,0.774357313772,"[4, 2, 11]","{'normalize': True, 'l1_ratio': 1.0, 'n_alphas': 410, 'fit_intercept': True}",501
44,0.640586440604,0.668583327646,0.487199380305,0.848293096672,0.760617176589,0.700165308287,0.639681316855,0.476678758307,0.764574430151,0.774356131585,"[5, 1, 7]","{'normalize': True, 'n_alphas': 360, 'fit_intercept': True}",503
46,0.64032977962,0.668686106926,0.486931123402,0.848603940459,0.760529458484,0.700026198941,0.639742459812,0.476671500909,0.764632718642,0.774338929282,"[5, 1, 11]","{'normalize': True, 'l1_ratio': 1.0, 'n_alphas': 410, 'fit_intercept': True}",506
48,0.705499476632,0.651053211948,0.462732357958,0.720557864703,0.796663232602,0.702229310098,0.64350481955,0.465078459572,0.764649450231,0.774333991398,"[4, 2, 7]","{'normalize': True, 'n_alphas': 360, 'fit_intercept': True}",509
